Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, without anemia","Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.568502388,0.38881356,0.72678767
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with mild anemia","Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.570175415,0.391434005,0.727423384
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with moderate anemia","Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.590500852,0.413727502,0.743072763
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with severe anemia","Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.630883908,0.455756497,0.782455383
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with asymptomatic heart failure","Generic uncomplicated disease: worry and daily medication, Chronic kidney disease (stage IV)",(combined DW),0.148200195,0.099858715,0.204923809
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with mild heart failure","Heart failure, mild; Chronic kidney disease (stage IV)",(combined DW),0.141455248,0.096789652,0.194885653
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with moderate heart failure","Heart failure, moderate; Chronic kidney disease (stage IV)",(combined DW),0.168395653,0.114713887,0.23034237
"Stage 5 chronic kidney disease untreated due to other and unspecified causes, with severe heart failure","Heart failure, severe; Chronic kidney disease (stage IV)",(combined DW),0.264257554,0.185852883,0.358428904
Acute glomerulonephritis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Mild atopic dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Moderate atopic dermatitis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188087469,0.124700385,0.266592375
Severe atopic dermatitis,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576316828,0.401429093,0.73075531
Mild contact dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Moderate contact dermatitis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188087469,0.124700385,0.266592375
Asymptomatic contact dermatitis,Asymptomatic,,0,0,0
Symptomatic seborrhoeic dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Asymptomatic seborrhoeic dermatitis,Asymptomatic,,0,0,0
Mild psoriasis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Moderate psoriasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188087469,0.124700385,0.266592375
Severe psoriasis,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576316828,0.401429093,0.73075531
Mild cellulitis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Moderate cellulitis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe cellulitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Impetigo,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Abscess and other bacterial skin diseases,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Scabies,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Tinea capitis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Other fungal skin diseases,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Mild viral warts,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Severe viral warts,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Mild molluscum contagiosum,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Severe molluscum contagiosum,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Mild acne vulgaris,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Non-disabling symptomatic acne,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Moderate acne vulgaris,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Severe acne vulgaris,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.404790537,0.274506378,0.545533435
Mild alopecia areata,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Severe alopecia areata,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Pruritus,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Mild urticaria,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Severe urticaria,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188087469,0.124700385,0.266592375
Mild decubitus ulcer,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517504,0.015009938,0.042397048
Moderate decubitus ulcer,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188087469,0.124700385,0.266592375
Severe decubitus ulcer,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576316828,0.401429093,0.73075531
Symptomatic other skin and subcutaneous diseases,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Asymptomatic other skin and subcutaneous diseases,Asymptomatic,,0,0,0
Moderate vision impairment due to glaucoma,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.030842126,0.018822003,0.048710372
Severe vision impairment due to glaucoma,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184048488,0.125125058,0.258286182
Blindness due to glaucoma,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187364583,0.124428678,0.260217163
Moderate vision impairment due to cataract,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.030842126,0.018822003,0.048710372
Severe vision impairment due to cataract,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184048488,0.125125058,0.258286182
Blindness due to cataract,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187364583,0.124428678,0.260217163
Moderate vision impairment due to macular degeneration,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.030842126,0.018822003,0.048710372
Severe vision impairment due to macular degeneration,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184048488,0.125125058,0.258286182
Blindness due to macular degeneration,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187364583,0.124428678,0.260217163
Moderate vision impairment due to uncorrected refractive error,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.030842126,0.018822003,0.048710372
Severe vision impairment due to uncorrected refractive error,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184048488,0.125125058,0.258286182
Blindness due to uncorrected refractive error,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187364583,0.124428678,0.260217163
Near vision loss,Presbyopia,"has difficulty seeing things that are nearer than 3 feet, but has no difficulty with seeing things at a distance. ",0.010603755,0.004951628,0.019869292
Moderate vision impairment due to other vision loss,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.030842126,0.018822003,0.048710372
Severe vision impairment due to other vision loss,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184048488,0.125125058,0.258286182
Blindness due to other vision loss,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187364583,0.124428678,0.260217163
Mild hearing loss due to age-related and other hearing loss,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.009557887,0.00419248,0.0188052
Moderate hearing loss due to age-related and other hearing loss,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.026575171,0.015295118,0.042228913
Severe hearing loss due to age-related and other hearing loss,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158397435,0.104716148,0.22663269
Profound hearing loss due to age-related and other hearing loss,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.203939708,0.134488148,0.287661848
Complete hearing loss due to age-related and other hearing loss,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.21483467,0.144054895,0.306618743
Mild hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021431429,0.011755785,0.036158027
Moderate hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.073963036,0.048560812,0.106579533
Severe hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.260867083,0.174921238,0.360055843
Profound hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277320698,0.182060085,0.387172592
Complete hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.315801357,0.2122617,0.435271537
Moderately severe hearing loss due to age-related and other hearing loss,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),0.092486303,0.063713095,0.129116138
Moderately severe hearing loss with ringing due to age-related and other hearing loss,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),0.167415059,0.114868449,0.230697411
Mild chronic other sense organ diseases,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011016252,0.005239763,0.020619542
Asymptomatic chronic other sense organ diseases,Asymptomatic,,0,0,0
Moderate chronic other sense organ diseases,Vertigo,,0.11337224,0.0736197,0.157504597
Mild acute other sense organ diseases,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072
Moderate acute other sense organ diseases,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Asymptomatic acute other sense organ diseases,Asymptomatic,,0,0,0
Mild rheumatoid arthritis,"Musculoskeletal problems, upper limbs, moderate","has moderate pain and stiffness in the arms and hands, which causes difficulty lifting, carrying, and holding things, and trouble sleeping because of the pain.",0.117074298,0.079707005,0.162751335
Moderate rheumatoid arthritis,"Musculoskeletal problems, generalized, moderate","has pain and deformity in most joints, causing difficulty moving around, getting up and down, and using the hands for lifting and carrying. The person often feels fatigue.",0.317446332,0.215686888,0.43971227
Severe rheumatoid arthritis,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581183642,0.40329404,0.739320433
Asymptomatic rheumatoid arthritis,Asymptomatic,,0,0,0
Mild osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.022650051,0.012706745,0.03731458
Moderate osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.078670707,0.05384209,0.109519295
Severe osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.164979408,0.112283675,0.232387175
Asymptomatic osteoarthritis of the hip,Asymptomatic,,0,0,0
Mild osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.022650051,0.012706745,0.03731458
Moderate osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.078670707,0.05384209,0.109519295
Severe osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.164979408,0.112283675,0.232387175
Asymptomatic osteoarthritis of the knee,Asymptomatic,,0,0,0
Mild osteoarthritis of the hand and foot,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.022650051,0.012706745,0.03731458
Moderate osteoarthritis of the hand and foot,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.078670707,0.05384209,0.109519295
Severe osteoarthritis of the hand and foot,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.164979408,0.112283675,0.232387175
Asymptomatic osteoarthritis of the hand and foot,Asymptomatic,,0,0,0
Mild osteoarthritis other,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.022650051,0.012706745,0.03731458
Moderate osteoarthritis other,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.078670707,0.05384209,0.109519295
Severe osteoarthritis other,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.164979408,0.112283675,0.232387175
Asymptomatic osteoarthritis other,Asymptomatic,,0,0,0
Severe low back pain with leg pain,"Back pain, severe, with leg pain","has severe back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.324989601,0.219314438,0.446437805
Most severe low back pain with leg pain,"Back pain, most severe, with leg pain","has constant back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.384117338,0.256116733,0.517729918
Mild low back pain with leg pain,Mild low back pain with leg pain,(combined DW),0.019962998,0.010855768,0.034769518
Moderate low back pain with leg pain,Moderate low back pain with leg pain,(combined DW),0.053988517,0.034603005,0.07948667
Severe low back pain without leg pain,"Back pain, severe, without leg pain","has severe back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.272193404,0.18157838,0.372540557
Most severe low back pain without leg pain,"Back pain, most severe, without leg pain","has constant back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.372172723,0.250305065,0.505646168
Mild low back pain without leg pain,"Low back pain, mild","has mild back pain, which causes some difficulty dressing, standing, and lifting things.",0.019962998,0.010855768,0.034769518
Moderate low back pain without leg pain,"Low back pain, moderate","has moderate back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things.",0.053988517,0.034603005,0.07948667
Mild neck pain,"Neck pain, mild","has neck pain, and has difficulty turning the head and lifting things.",0.052750021,0.0335738,0.078435273
Severe neck pain,"Neck pain, severe","has severe neck pain, and difficulty turning the head and lifting things. The person gets headaches and arm pain, sleeps poorly, and feels tired and worried.",0.229438687,0.15327389,0.316872145
Moderate neck pain,"Neck pain, moderate","has constant neck pain, and has difficulty turning the head, holding arms up, and lifting things",0.113958768,0.075418985,0.161827027
Most severe neck pain,"Neck pain, most severe","has constant neck pain and arm pain, and difficulty turning the head, holding arms up, and lifting things. The person gets headaches, sleeps poorly, and feels tired and worried. ",0.303601091,0.20247242,0.415433095
Polyarticular gout,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581183642,0.40329404,0.739320433
Symptomatic episodes of gout,"Gout, acute","has severe pain and swelling in the leg, making it very difficult to get up and down, stand, walk, lift, and carry heavy things. The person has trouble sleeping because of the pain. ",0.294809508,0.196165518,0.409468305
Asymptomatic gout,Asymptomatic,,0,0,0
Other musculoskeletal disorders severity level 1,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.022650051,0.012706745,0.03731458
Other musculoskeletal disorders severity level 4,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.164979408,0.112283675,0.232387175
Other musculoskeletal disorders severity level 2,"Musculoskeletal problems, upper limbs, mild","has mild pain and stiffness in the arms and hands. The person has some difficulty lifting, carrying and holding things.",0.028341099,0.016622525,0.044844688
Other musculoskeletal disorders severity level 3,"Musculoskeletal problems, upper limbs, moderate","has moderate pain and stiffness in the arms and hands, which causes difficulty lifting, carrying, and holding things, and trouble sleeping because of the pain.",0.117074298,0.079707005,0.162751335
Other musculoskeletal disorders severity level 5,"Musculoskeletal problems, generalized, moderate","has pain and deformity in most joints, causing difficulty moving around, getting up and down, and using the hands for lifting and carrying. The person often feels fatigue.",0.317446332,0.215686888,0.43971227
Other musculoskeletal disorders severity level 6,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581183642,0.40329404,0.739320433
Asymptomatic other musculoskeletal disorders,Asymptomatic,,0,0,0
Severe motor and cognitive impairment due to anencephaly,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.541667771,0.374038277,0.702242795
Incontinence due to encephalocele,Urinary incontinence,cannot control urinating.,0.139135459,0.094181123,0.197545537
Borderline intellectual disability due to encephalocele,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.010793009,0.00519012,0.0202354
Mild intellectual disability due to encephalocele,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.04254058,0.025978245,0.06445393
Moderate intellectual disability due to encephalocele,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.",0.100020868,0.066049518,0.141748748
Severe intellectual disability due to encephalocele,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.",0.160057434,0.107062185,0.226226345
Profound intellectual disability due to encephalocele,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.",0.200307072,0.133257013,0.282521015
Mild motor impairment due to encephalocele,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.010140717,0.004855508,0.01933766
Moderate motor impairment due to encephalocele,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.060833859,0.039587362,0.08908513
Severe motor impairment due to encephalocele,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.401610538,0.268270568,0.545332718
Mild motor impairment and mild intellectual disability due to encephalocele,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031164679,0.01806044,0.049540897
Moderate motor impairment and moderate intellectual disability due to encephalocele,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.202946014,0.13394816,0.28958335
Severe motor impairment and incontinence due to encephalocele,Severe motor impairment with incontinence,(combined DW),0.483395271,0.346080735,0.628529793
Mild motor impairment and profound intellectual disability due to encephalocele,Severe motor impairment with incontinence,(combined DW),0.483395271,0.346080735,0.628529793
Moderate motor impairment and profound intellectual disability due to encephalocele,Severe motor impairment with incontinence,(combined DW),0.483395271,0.346080735,0.628529793
Severe motor impairment and profound intellectual disability due to encephalocele,Severe motor impairment with incontinence,(combined DW),0.483395271,0.346080735,0.628529793
"Mild motor impairment, profound intellectual disability and incontinence due to encephalocele",Severe motor impairment with incontinence,(combined DW),0.483395271,0.346080735,0.628529793
Asymptomatic encephalocele following treatment,Asymptomatic,,0,0,0
"Severe motor impairment, mild intellectual disability and incontinence due to encephalocele",Severe motor impairment with mild intellectual disability and incontinence,(combined DW),0.505106783,0.367397511,0.646847195
"Severe motor impairment, moderate intellectual disability and incontinence due to encephalocele",Severe motor impairment with moderate intellectual disability and incontinence,(combined DW),0.53402151,0.390646473,0.675430294
"Severe motor impairment, severe intellectual disability and incontinence due to encephalocele",Severe motor impairment with severe intellectual disability and incontinence,(combined DW),0.564129085,0.418163739,0.709651943
"Severe motor impairment, profound intellectual disability and incontinence due to encephalocele",Severe motor impairment with severe intellectual disability and incontinence,(combined DW),0.564129085,0.418163739,0.709651943
Severe motor impairment and mild intellectual disability due to encephalocele,Severe motor impairment with mild intellectual disability,(combined DW),0.426872345,0.300312187,0.567377679
Severe motor impairment and moderate intellectual disability due to encephalocele,Severe motor impairment with moderate intellectual disability,(combined DW),0.460540677,0.32428886,0.603383554
Severe motor impairment and severe intellectual disability due to encephalocele,Severe motor impairment with severe intellectual disability,(combined DW),0.495598285,0.355357506,0.641030557
Borderline intellectual disability and incontinence due to encephalocele,Borderline intellectual functioning and urinary incontinence,(combined DW),0.148399029,0.101002508,0.206393203
Mild intellectual disability and incontinence due to encephalocele,Mild intellectual disability and urinary incontinence,(combined DW),0.175589862,0.12008373,0.242378044
Moderate intellectual disability and incontinence due to encephalocele,Moderate intellectual disability and urinary incontinence,(combined DW),0.22480792,0.155521812,0.30405926
Severe intellectual disability and incontinence due to encephalocele,Severe intellectual disability and urinary incontinence,(combined DW),0.276212839,0.194126635,0.376016402
Profound intellectual disability and incontinence due to encephalocele,Profound intellectual disability and urinary incontinence,(combined DW),0.310714142,0.216720659,0.418182068
Mild motor impairment and borderline intellectual disability due to encephalocele,Mild motor impairment and borderline intellectual functioning,(combined DW),0.020809588,0.010076173,0.038535345
Moderate motor impairment and borderline intellectual disability due to encephalocele,Moderate motor impairment and borderline intellectual functioning,(combined DW),0.070936592,0.044891846,0.105848114
Severe motor impairment and borderline intellectual disability due to encephalocele,Severe motor impairment and borderline intellectual functioning,(combined DW),0.408121417,0.27864662,0.549580679
Moderate motor impairment and mild intellectual disability due to encephalocele,Moderate motor impairment and mild intellectual functioning,(combined DW),0.100679217,0.065591807,0.146418001
Mild motor impairment and moderate intellectual disability due to encephalocele,Mild motor impairment and moderate intellectual functioning,(combined DW),0.109115521,0.073270093,0.153567058
Mild motor impairment and severe intellectual disability due to encephalocele,Mild motor impairment and severe intellectual functioning,(combined DW),0.168549993,0.113284659,0.237495454
Moderate motor impairment and severe intellectual disability due to encephalocele,Moderate motor impairment and severe intellectual functioning,(combined DW),0.210863039,0.145223487,0.292874533
"Mild motor impairment, borderline intellectual disability and incontinence due to encephalocele","Mild motor impairment, borderline intellectual functioning, and urinary incontinence",(combined DW),0.156995131,0.108195022,0.217901397
"Moderate motor impairment, borderline intellectual disability and incontinence due to encephalocele","Moderate motor impairment, borderline intellectual functioning, and urinary incontinence",(combined DW),0.199919441,0.138544664,0.273078905
"Severe motor impairment, borderline intellectual disability and incontinence due to encephalocele","Severe motor impairment, borderline intellectual functioning, and urinary incontinence",(combined DW),0.488999221,0.353461437,0.631616053
